year;site;FF;FF.juv
1968;Manìtín;;250
1976;Manìtín;;50
1981;Manìtín;;200
1990;Manìtín;100;50
1993;Manìtín;400;500
1994;Manìtín;380;653
1995;Manìtín;451;728
1996;Manìtín;492;879
1997;Manìtín;554;1041
1998;Manìtín;644;1041
1999;Manìtín;644;1079
2000;Manìtín;662;
2001;Manìtín;615;
2002;Manìtín;680;
2003;Manìtín;;
2004;Manìtín;;1165
2005;Manìtín;1075;994
2006;Manìtín;;
2007;Manìtín;0;0
2008;Manìtín;;
2009;Manìtín;;1004
2010;Manìtín;;1350
2011;Manìtín;;1403
2012;Manìtín;;1253
2013;Manìtín;722;1818
2014;Manìtín;;1110
2015;Manìtín;1119;1589
2016;Manìtín;1106;1763
2017;Manìtín;1215;1790
2018;Manìtín;1360;1612
2019;Manìtín;1355;2115
2020;Manìtín;1037;2174
2000;Dolany;;
2001;Dolany;;120
2002;Dolany;80;
2003;Dolany;;
2004;Dolany;;
2005;Dolany;80;
2006;Dolany;50;
2007;Dolany;;
2008;Dolany;;
2009;Dolany;;
2010;Dolany;;
2011;Dolany;;211
2012;Dolany;;45
2013;Dolany;;348
2014;Dolany;;360
2015;Dolany;;370
2016;Dolany;;424
2017;Dolany;285;492
2018;Dolany;400;685
2019;Dolany;376;614
2020;Dolany;175;612
2000;Ledce;;
2001;Ledce;;
2002;Ledce;1732;3145
2003;Ledce;;
2004;Ledce;;
2005;Ledce;;3031
2006;Ledce;;
2007;Ledce;;3133
2008;Ledce;;
2009;Ledce;;
2010;Ledce;;3170
2011;Ledce;;3200
2012;Ledce;2234;3123
2013;Ledce;1900;3128
2014;Ledce;2609;3772
2015;Ledce;2652;4216
2016;Ledce;2804;4708
2017;Ledce;2837;4561
2018;Ledce;2764;4204
2019;Ledce;2151;3542
2020;Ledce;2377;3849
2016;Liblín;;100
2018;Liblín;;94
2019;Liblín;75;145
2020;Liblín;37;127
2000;Pøedslav;;50
2001;Pøedslav;;80
2002;Pøedslav;;80
2003;Pøedslav;;
2004;Pøedslav;;
2005;Pøedslav;;
2006;Pøedslav;50;
2007;Pøedslav;;
2008;Pøedslav;;
2009;Pøedslav;;
2010;Pøedslav;;
2011;Pøedslav;;
2012;Pøedslav;;6
2013;Pøedslav;;15
2014;Pøedslav;;33
2015;Pøedslav;;17
2016;Pøedslav;;45
2017;Pøedslav;1;20
2018;Pøedslav;9 (8 + 1);1
2019;Pøedslav;12;10
2020;Pøedslav;14 (13 + 1);30
2000;Radnice;;
2001;Radnice;;
2002;Radnice;170;
2003;Radnice;;
2004;Radnice;;
2005;Radnice;;
2006;Radnice;;
2007;Radnice;;
2008;Radnice;;
2009;Radnice;;
2010;Radnice;;420
2011;Radnice;;338
2012;Radnice;;425
2013;Radnice;;420
2014;Radnice;;478
2015;Radnice;;412
2016;Radnice;316;535
2017;Radnice;277;530
2018;Radnice;260;398
2019;Radnice;235;381
2020;Radnice;183;431
2000;Všeruby;;76
2001;Všeruby;;
2002;Všeruby;53;
2003;Všeruby;;
2004;Všeruby;;
2005;Všeruby;;91
2006;Všeruby;;
2007;Všeruby;;
2008;Všeruby;;
2009;Všeruby;;
2010;Všeruby;;160
2011;Všeruby;;211
2012;Všeruby;;134
2013;Všeruby;;125
2014;Všeruby;;144
2015;Všeruby;85;100
2016;Všeruby;0;60
2017;Všeruby;60;143
2018;Všeruby;;116
2019;Všeruby;75;145
2020;Všeruby;38;117
