ROK;Mmyo;Rhip;Bbar;Mdau;Mmys;Mbra;Mema;Mnat;Mbech;Mbly;Mdas;Mmys/bra;Mspp;Vmur;Enil;Eser;Nlei;Nnoc;Ppip;Pnat;Paur;Paus;Pspp
1998;1518;57;194;106;0;0;0;4;1;0;0;0;0;0;0;13;0;0;0;0;38;45;0
1999;1388;53;271;105;1;0;0;7;0;0;0;0;0;3;0;7;0;0;0;0;17;33;0
2000;1161;79;317;137;1;0;1;4;0;0;0;0;0;0;0;16;0;0;0;0;31;38;0
2001;1226;54;291;112;0;0;2;1;10;0;0;0;0;0;0;10;0;0;2;0;23;33;0
2002;1378;41;139;112;0;0;0;6;0;0;0;0;0;0;0;5;0;0;0;0;24;22;0
2003;1001;78;214;57;0;0;0;2;0;0;0;0;0;1;0;18;0;0;0;0;25;30;0
2004;703;108;256;66;1;0;0;2;0;0;0;0;0;2;0;17;0;0;0;0;22;36;0
2005;720;104;252;61;0;0;0;4;0;0;0;0;0;0;0;8;0;0;2;0;15;16;0
2006;830;139;327;90;0;0;1;3;1;0;0;0;0;2;0;14;0;0;0;0;20;46;0
2007;771;161;83;52;0;0;0;0;0;0;0;0;0;0;0;7;0;0;1;0;17;13;0
2008;1149;163;159;104;1;2;1;2;0;0;0;0;0;0;0;13;0;0;0;0;34;18;0
2009;1247;162;291;94;1;2;1;2;0;0;0;0;0;3;0;11;0;0;2;0;31;30;0
2010;1307;182;285;95;0;1;0;5;0;0;0;0;0;2;0;14;0;0;1;0;29;14;0
2011;1214;218;286;73;1;0;0;4;0;0;0;0;0;7;0;31;0;0;3;0;33;30;0
2012;1842;315;236;85;0;1;0;2;0;0;0;0;0;4;0;10;0;0;2;0;23;15;0
2013;1771;355;239;90;1;0;1;18;0;0;0;0;0;7;0;6;0;0;4;0;21;19;0
2014;1686;272;236;89;2;0;1;4;4;0;0;0;0;3;0;12;0;0;10;0;34;16;0
2015;2239;347;149;125;2;0;3;9;0;0;0;0;0;1;0;11;0;0;11;0;44;14;0
2016;2336;298;100;88;2;2;5;11;0;0;0;0;0;5;0;14;0;0;19;0;37;5;0
2017;2282;353;275;102;2;1;2;5;0;0;0;0;0;16;0;19;0;0;32;0;52;28;0
2018;1959;345;88;119;1;1;4;10;0;0;0;0;0;3;0;14;0;0;21;0;19;10;0
2019;1697;424;211;110;1;0;4;5;0;0;0;0;0;7;0;23;0;0;38;0;57;19;0
2020;1941;487;110;124;1;1;4;6;1;0;0;0;0;2;0;19;0;0;55;0;67;13;0
2021;1688;594;192;146;2;2;7;5;1;0;0;0;0;3;0;19;0;0;35;0;91;14;0
2022;1748;643;145;180;1;1;8;3;1;0;0;0;0;5;0;35;0;0;54;0;81;8;0
2023;2193;649;190;163;;;;;;;;;;;;;;;44;;72;11;
