ROK;DRUH;POCET
1956;MyoMyo;28
1957;MyoMyo;24
1959;MyoMyo;14
1966;MyoMyo;20
1970;MyoMyo;26
1971;MyoMyo;12
1972;MyoMyo;29
1973;MyoMyo;28
1974;MyoMyo;15
1975;MyoMyo;9
1976;MyoMyo;10
1977;MyoMyo;11
1978;MyoMyo;31
1979;MyoMyo;16
1981;MyoMyo;28
1982;MyoMyo;31
1984;MyoMyo;39
1985;MyoMyo;44
1986;MyoMyo;56
1987;MyoMyo;41
1988;MyoMyo;31
1992;MyoMyo;57
1993;MyoMyo;121
1994;MyoMyo;121
1995;MyoMyo;113
1996;MyoMyo;134
1997;MyoMyo;103
1998;MyoMyo;98
1999;MyoMyo;94
2000;MyoMyo;92
2001;MyoMyo;79
2002;MyoMyo;194
2003;MyoMyo;183
2004;MyoMyo;103
2005;MyoMyo;111
2006;MyoMyo;151
2007;MyoMyo;137
2008;MyoMyo;183
2009;MyoMyo;281
2010;MyoMyo;290
2011;MyoMyo;325
2012;MyoMyo;604
2013;MyoMyo;615
2014;MyoMyo;586
2015;MyoMyo;720
2016;MyoMyo;803
2017;MyoMyo;786
2018;MyoMyo;572
2019;MyoMyo;470
2020;MyoMyo;384
2021;MyoMyo;390
2022;MyoMyo;481
2023;MyoMyo;570
1956;MyoDau;2
1957;MyoDau;2
1959;MyoDau;2
1966;MyoDau;1
1970;MyoDau;7
1971;MyoDau;3
1972;MyoDau;6
1973;MyoDau;5
1974;MyoDau;4
1975;MyoDau;8
1976;MyoDau;3
1977;MyoDau;10
1978;MyoDau;6
1979;MyoDau;4
1981;MyoDau;5
1982;MyoDau;5
1984;MyoDau;8
1985;MyoDau;6
1986;MyoDau;10
1987;MyoDau;14
1988;MyoDau;11
1992;MyoDau;8
1993;MyoDau;13
1994;MyoDau;10
1995;MyoDau;18
1996;MyoDau;13
1997;MyoDau;14
1998;MyoDau;12
1999;MyoDau;12
2000;MyoDau;36
2001;MyoDau;21
2002;MyoDau;22
2003;MyoDau;16
2004;MyoDau;16
2005;MyoDau;12
2006;MyoDau;12
2007;MyoDau;8
2008;MyoDau;32
2009;MyoDau;29
2010;MyoDau;25
2011;MyoDau;6
2012;MyoDau;16
2013;MyoDau;26
2014;MyoDau;19
2015;MyoDau;28
2016;MyoDau;25
2017;MyoDau;18
2018;MyoDau;35
2019;MyoDau;32
2020;MyoDau;16
2021;MyoDau;23
2022;MyoDau;57
2023;MyoDau;29
1956;BarBar;28
1957;BarBar;33
1959;BarBar;2
1966;BarBar;1
1970;BarBar;19
1971;BarBar;16
1972;BarBar;28
1973;BarBar;13
1974;BarBar;14
1975;BarBar;12
1976;BarBar;16
1977;BarBar;5
1978;BarBar;19
1979;BarBar;10
1981;BarBar;20
1982;BarBar;8
1984;BarBar;12
1985;BarBar;7
1986;BarBar;12
1987;BarBar;11
1988;BarBar;10
1992;BarBar;10
1993;BarBar;30
1994;BarBar;25
1995;BarBar;16
1996;BarBar;40
1997;BarBar;33
1998;BarBar;35
1999;BarBar;43
2000;BarBar;56
2001;BarBar;46
2002;BarBar;12
2003;BarBar;68
2004;BarBar;63
2005;BarBar;64
2006;BarBar;80
2007;BarBar;18
2008;BarBar;39
2009;BarBar;59
2010;BarBar;58
2011;BarBar;62
2012;BarBar;45
2013;BarBar;53
2014;BarBar;58
2015;BarBar;36
2016;BarBar;24
2017;BarBar;42
2018;BarBar;9
2019;BarBar;24
2020;BarBar;12
2021;BarBar;24
2022;BarBar;24
2023;BarBar;25
