datum,rok,druh,pocet
11.02.2012,2012,Myotis myotis,12
19.01.2013,2013,Myotis myotis,19
08.02.2014,2014,Myotis myotis,17
07.02.2015,2015,Myotis myotis,27
13.02.2016,2016,Myotis myotis,32
11.02.2017,2017,Myotis myotis,33
15.02.2018,2018,Myotis myotis,34
19.01.2019,2019,Myotis myotis,31
19.01.2020,2020,Myotis myotis,35
23.01.2021,2021,Myotis myotis,32
23.01.2022,2022,Myotis myotis,28
13.01.2023,2023,Myotis myotis,35
21.01.2024,2024,Myotis myotis,40
04.02.2025,2025,Myotis myotis,43
26.01.2026,2026,Myotis myotis,44
11.02.2012,2012,Myotis daubentonii,2
19.01.2013,2013,Myotis daubentonii,2
08.02.2014,2014,Myotis daubentonii,8
07.02.2015,2015,Myotis daubentonii,7
13.02.2016,2016,Myotis daubentonii,2
11.02.2017,2017,Myotis daubentonii,11
15.02.2018,2018,Myotis daubentonii,7
19.01.2019,2019,Myotis daubentonii,9
19.01.2020,2020,Myotis daubentonii,13
23.01.2021,2021,Myotis daubentonii,10
23.01.2022,2022,Myotis daubentonii,9
13.01.2023,2023,Myotis daubentonii,4
21.01.2024,2024,Myotis daubentonii,9
04.02.2025,2025,Myotis daubentonii,6
26.01.2026,2026,Myotis daubentonii,4
11.02.2012,2012,Rhinolophus hipposideros,3
19.01.2013,2013,Rhinolophus hipposideros,7
08.02.2014,2014,Rhinolophus hipposideros,0
07.02.2015,2015,Rhinolophus hipposideros,0
13.02.2016,2016,Rhinolophus hipposideros,4
11.02.2017,2017,Rhinolophus hipposideros,14
15.02.2018,2018,Rhinolophus hipposideros,13
19.01.2019,2019,Rhinolophus hipposideros,19
19.01.2020,2020,Rhinolophus hipposideros,11
23.01.2021,2021,Rhinolophus hipposideros,22
23.01.2022,2022,Rhinolophus hipposideros,29
13.01.2023,2023,Rhinolophus hipposideros,30
21.01.2024,2024,Rhinolophus hipposideros,32
04.02.2025,2025,Rhinolophus hipposideros,48
26.01.2026,2026,Rhinolophus hipposideros,53
11.02.2012,2012,Myotis natteri,1
19.01.2013,2013,Myotis natteri,0
08.02.2014,2014,Myotis natteri,0
07.02.2015,2015,Myotis natteri,0
13.02.2016,2016,Myotis natteri,0
11.02.2017,2017,Myotis natteri,0
15.02.2018,2018,Myotis natteri,2
19.01.2019,2019,Myotis natteri,0
19.01.2020,2020,Myotis natteri,0
23.01.2021,2021,Myotis natteri,0
23.01.2022,2022,Myotis natteri,0
13.01.2023,2023,Myotis natteri,0
21.01.2024,2024,Myotis natteri,1
04.02.2025,2025,Myotis natteri,1
26.01.2026,2026,Myotis natteri,0
11.02.2012,2012,Plecotus auritus,5
19.01.2013,2013,Plecotus auritus,8
08.02.2014,2014,Plecotus auritus,10
07.02.2015,2015,Plecotus auritus,10
13.02.2016,2016,Plecotus auritus,10
11.02.2017,2017,Plecotus auritus,17
15.02.2018,2018,Plecotus auritus,13
19.01.2019,2019,Plecotus auritus,16
19.01.2020,2020,Plecotus auritus,29
23.01.2021,2021,Plecotus auritus,22
23.01.2022,2022,Plecotus auritus,35
13.01.2023,2023,Plecotus auritus,25
21.01.2024,2024,Plecotus auritus,36
04.02.2025,2025,Plecotus auritus,27
26.01.2026,2026,Plecotus auritus,23
11.02.2012,2012,Plecotus austriacus,0
19.01.2013,2013,Plecotus austriacus,0
08.02.2014,2014,Plecotus austriacus,0
07.02.2015,2015,Plecotus austriacus,1
13.02.2016,2016,Plecotus austriacus,1
11.02.2017,2017,Plecotus austriacus,2
15.02.2018,2018,Plecotus austriacus,1
19.01.2019,2019,Plecotus austriacus,1
19.01.2020,2020,Plecotus austriacus,1
23.01.2021,2021,Plecotus austriacus,0
23.01.2022,2022,Plecotus austriacus,2
13.01.2023,2023,Plecotus austriacus,0
21.01.2024,2024,Plecotus austriacus,1
04.02.2025,2025,Plecotus austriacus,0
26.01.2026,2026,Plecotus austriacus,1
11.02.2012,2012,Myotis mystacinus,0
19.01.2013,2013,Myotis mystacinus,1
08.02.2014,2014,Myotis mystacinus,0
07.02.2015,2015,Myotis mystacinus,0
13.02.2016,2016,Myotis mystacinus,0
11.02.2017,2017,Myotis mystacinus,0
15.02.2018,2018,Myotis mystacinus,0
19.01.2019,2019,Myotis mystacinus,0
19.01.2020,2020,Myotis mystacinus,0
23.01.2021,2021,Myotis mystacinus,0
23.01.2022,2022,Myotis mystacinus,1
13.01.2023,2023,Myotis mystacinus,0
21.01.2024,2024,Myotis mystacinus,0
04.02.2025,2025,Myotis mystacinus,0
26.01.2026,2026,Myotis mystacinus,0
11.02.2012,2012,Eptesicus serotinus,0
19.01.2013,2013,Eptesicus serotinus,0
08.02.2014,2014,Eptesicus serotinus,0
07.02.2015,2015,Eptesicus serotinus,0
13.02.2016,2016,Eptesicus serotinus,0
11.02.2017,2017,Eptesicus serotinus,0
15.02.2018,2018,Eptesicus serotinus,0
19.01.2019,2019,Eptesicus serotinus,0
19.01.2020,2020,Eptesicus serotinus,0
23.01.2021,2021,Eptesicus serotinus,1
23.01.2022,2022,Eptesicus serotinus,1
13.01.2023,2023,Eptesicus serotinus,0
21.01.2024,2024,Eptesicus serotinus,2
04.02.2025,2025,Eptesicus serotinus,3
26.01.2026,2026,Eptesicus serotinus,3
11.02.2012,2012,Myotis emarginatus,0
19.01.2013,2013,Myotis emarginatus,0
08.02.2014,2014,Myotis emarginatus,0
07.02.2015,2015,Myotis emarginatus,0
13.02.2016,2016,Myotis emarginatus,0
11.02.2017,2017,Myotis emarginatus,0
15.02.2018,2018,Myotis emarginatus,0
19.01.2019,2019,Myotis emarginatus,0
19.01.2020,2020,Myotis emarginatus,0
23.01.2021,2021,Myotis emarginatus,0
23.01.2022,2022,Myotis emarginatus,1
13.01.2023,2023,Myotis emarginatus,0
21.01.2024,2024,Myotis emarginatus,0
04.02.2025,2025,Myotis emarginatus,0
26.01.2026,2026,Myotis emarginatus,0
11.02.2012,2012,Pipistrellus pipistrellus,0
19.01.2013,2013,Pipistrellus pipistrellus,0
08.02.2014,2014,Pipistrellus pipistrellus,0
07.02.2015,2015,Pipistrellus pipistrellus,0
13.02.2016,2016,Pipistrellus pipistrellus,0
11.02.2017,2017,Pipistrellus pipistrellus,0
15.02.2018,2018,Pipistrellus pipistrellus,0
19.01.2019,2019,Pipistrellus pipistrellus,0
19.01.2020,2020,Pipistrellus pipistrellus,0
23.01.2021,2021,Pipistrellus pipistrellus,0
23.01.2022,2022,Pipistrellus pipistrellus,2
13.01.2023,2023,Pipistrellus pipistrellus,0
21.01.2024,2024,Pipistrellus pipistrellus,0
04.02.2025,2025,Pipistrellus pipistrellus,0
26.01.2026,2026,Pipistrellus pipistrellus,0
11.02.2012,2012,Vespertilio murinus,0
19.01.2013,2013,Vespertilio murinus,0
08.02.2014,2014,Vespertilio murinus,0
07.02.2015,2015,Vespertilio murinus,0
13.02.2016,2016,Vespertilio murinus,0
11.02.2017,2017,Vespertilio murinus,0
15.02.2018,2018,Vespertilio murinus,0
19.01.2019,2019,Vespertilio murinus,0
19.01.2020,2020,Vespertilio murinus,0
23.01.2021,2021,Vespertilio murinus,0
23.01.2022,2022,Vespertilio murinus,0
13.01.2023,2023,Vespertilio murinus,1
21.01.2024,2024,Vespertilio murinus,0
04.02.2025,2025,Vespertilio murinus,0
26.01.2026,2026,Vespertilio murinus,0
